S (m)	X Coordinate (m)	Y Coordinate (m)	Z Coordinate (m)	Shear Stress (Pa)
0.27111	6.1965e-002	2.1214e-002	0.	3.8672e+005
0.27262	6.3464e-002	2.1386e-002	0.	3.6867e+005
0.27413	6.4965e-002	2.1546e-002	0.	3.4931e+005
0.27564	6.6466e-002	2.1702e-002	0.	3.3018e+005
0.27715	6.7968e-002	2.1851e-002	0.	3.1137e+005
0.27866	6.9471e-002	2.1993e-002	0.	2.9237e+005
0.28017	7.0974e-002	2.2131e-002	0.	2.7394e+005
0.28168	7.2478e-002	2.2264e-002	0.	2.5473e+005
0.28319	7.3981e-002	2.2392e-002	0.	2.338e+005
0.2847	7.5486e-002	2.2517e-002	0.	2.1205e+005
0.28621	7.699e-002	2.2637e-002	0.	1.9076e+005
0.28772	7.8495e-002	2.2753e-002	0.	1.5343e+005
0.28923	8.e-002	2.2868e-002	0.	5.7209e+005
0.29071	8.1481e-002	2.2976e-002	0.	1.1129e+006
0.2922	8.2963e-002	2.308e-002	0.	1.0907e+006
0.29368	8.4445e-002	2.3182e-002	0.	1.069e+006
0.29517	8.5927e-002	2.3279e-002	0.	1.0477e+006
0.29665	8.7409e-002	2.3373e-002	0.	1.0265e+006
0.29814	8.8892e-002	2.3462e-002	0.	1.0053e+006
0.29962	9.0375e-002	2.3546e-002	0.	9.8416e+005
0.30111	9.1858e-002	2.3624e-002	0.	9.629e+005
0.30259	9.3342e-002	2.3697e-002	0.	9.4154e+005
0.30408	9.4825e-002	2.3764e-002	0.	9.201e+005
0.30556	9.631e-002	2.3825e-002	0.	8.9856e+005
0.30705	9.7794e-002	2.388e-002	0.	8.7691e+005
0.30853	9.9278e-002	2.3929e-002	0.	8.5516e+005
0.31002	0.10076	2.3973e-002	0.	8.3332e+005
0.31151	0.10225	2.4012e-002	0.	8.1141e+005
0.31299	0.10373	2.4045e-002	0.	7.8941e+005
0.31448	0.10522	2.4075e-002	0.	7.6735e+005
0.31596	0.1067	2.41e-002	0.	7.4523e+005
0.31745	0.10819	2.4122e-002	0.	7.2307e+005
0.31893	0.10967	2.414e-002	0.	7.0086e+005
0.32042	0.11116	2.4156e-002	0.	6.7861e+005
0.3219	0.11264	2.4168e-002	0.	6.5633e+005
0.32339	0.11413	2.4177e-002	0.	6.3402e+005
0.32487	0.11561	2.4183e-002	0.	6.1169e+005
0.32636	0.1171	2.4187e-002	0.	5.8934e+005
0.32784	0.11858	2.4189e-002	0.	5.6698e+005
0.32933	0.12007	2.4187e-002	0.	5.446e+005
0.33081	0.12156	2.4184e-002	0.	5.2222e+005
0.3323	0.12304	2.4177e-002	0.	4.9983e+005
0.33379	0.12453	2.4169e-002	0.	4.7743e+005
0.33527	0.12601	2.4158e-002	0.	4.5504e+005
0.33676	0.1275	2.4144e-002	0.	4.3266e+005
0.33824	0.12898	2.4129e-002	0.	4.1028e+005
0.33973	0.13047	2.411e-002	0.	3.8791e+005
0.34121	0.13195	2.4089e-002	0.	3.6555e+005
0.3427	0.13344	2.4066e-002	0.	3.4322e+005
0.34418	0.13492	2.404e-002	0.	3.209e+005
0.34567	0.13641	2.4011e-002	0.	2.986e+005
0.34715	0.13789	2.3979e-002	0.	2.7634e+005
0.34864	0.13938	2.3945e-002	0.	2.541e+005
0.35012	0.14086	2.3908e-002	0.	2.319e+005
0.35161	0.14235	2.3867e-002	0.	2.0974e+005
0.35309	0.14383	2.3824e-002	0.	1.8762e+005
0.35458	0.14532	2.3778e-002	0.	1.6554e+005
0.35606	0.1468	2.3729e-002	0.	1.4351e+005
0.35755	0.14829	2.3677e-002	0.	1.2154e+005
0.35904	0.14977	2.3621e-002	0.	99620
0.36052	0.15125	2.3563e-002	0.	77763
0.36201	0.15274	2.3502e-002	0.	55974
